50,Rahul,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
51,Mohit,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
52,Ayush,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
53,Adwait,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
54,Sarthak,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
55,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
56,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
57,Pratham,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
58,Kshitish,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
59,Dipankar,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
60,Rahul,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
61,Mohit,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
62,Ayush,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
63,Adwait,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
64,Sarthak,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
65,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
66,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
67,Pratham,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
68,Kshitish,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
69,Dipankar,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
70,Juhi,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
71,Prajakata,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
72,Manali,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
73,Shivani,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
74,Ruchita,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
75,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
76,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
77,Pratham,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
78,Kshitish,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
79,Dipankar,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
80,Rahul,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
81,Mohit,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
82,Ayush,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
83,Adwait,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
84,Sarthak,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
85,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
86,Sonali,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
87,Pallavi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
88,Sharddha,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
89,Shikha,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
90,Anushaka,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
91,Pooja,18,25,42,13,19,35,19,29,48,10,15,25,13,23,27
92,Ayush,15,23,46,14,26,44,17,24,43,11,17,34,18,21,40
93,Riddhi,12,20,32,14,20,32,16,20,32,18,20,32,20,20,32
94,Swarali,14,21,49,20,22,43,13,18,39,19,29,49,19,21,23
95,Abhishek,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
96,Ankur,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
97,Pratham,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
98,Kshitish,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
99,Dipankar,19,29,43,6,21,43,14,25,49,6,21,46,20,30,21
100,Rahul,16,20,29,17,27,37,9,19,47,13,29,47,11,23,44
